datetime,SLC,rocket,mission,year
2022-04-08 15:17:12,39A,Falcon 9 Block 5 , F9-147 Axiom Mission 1 (Ax-1),2022
2022-04-27 07:52:55,39A,Falcon 9 Block 5 , SpaceX Crew-4,2022
2022-05-06 09:42:00,39A,Falcon 9 Block 5 , Starlink Group 4-17,2022
2022-05-18 10:59:40,39A,Falcon 9 Block 5 , Starlink Group 4-18,2022
2022-06-17 16:09:20,39A,Falcon 9 Block 5 , Starlink Group 4-19,2022
2022-07-15 00:44:22,39A,Falcon 9 Block 5 , F9-164,2022
2022-07-24 13:38:20,39A,Falcon 9 Block 5 , Starlink Group 4-25,2022
2022-08-10 02:14:40,39A,Falcon 9 Block 5 , Starlink Group 4-26,2022
2022-09-11 01:20:00,39A,Falcon 9 Block 5 , Starlink Group 4-2,2022
2022-10-05 16:00:57,39A,Falcon 9 Block 5 , F9-178,2022
2022-11-01 13:41:00,39A,Falcon Heavy , FH-004,2022
2022-11-26 19:20:43,39A,Falcon 9 Block 5 , F9-187,2022
